"ID","treeID","creatorID","specID","height","DBH","plot","level"
893,"r00805","GHKLRRS","BUR",19.1,0.33,"fs-021",4
894,"r00806","GHKLRRS","BUR",19.3,0.48,"fs-021",4
895,"r00807","GHKLRRS","BUR",11.8,0.13,"fs-021",3
896,"r00808","GHKLRRS","BUR",9.9,0.1,"fs-021",2
897,"r00809","GHKLRRS","BUR",18.9,0.25,"fs-021",4
898,"r00810","GHKLRRS","BUR",5.2,0.07,"fs-021",2
899,"r00811","GHKLRRS","EIT",18.5,0.38,"fs-021",4
900,"r00812","GHKLRRS","BUR",12.8,0.12,"fs-021",3
901,"r00813","GHKLRRS","BUR",12.8,0.14,"fs-021",3
902,"r00814","GHKLRRS","BUR",18.1,0.23,"fs-021",4
903,"r00815","GHKLRRS","BUR",10.2,0.1,"fs-021",3
904,"r00816","GHKLRRS","BUR",12.9,0.11,"fs-021",3
905,"r00817","GHKLRRS","BUR",10.5,0.11,"fs-021",3
906,"r00818","GHKLRRS","BUR",24.3,0.47,"fs-021",5
907,"r00819","GHKLRRS","BUR",15.3,0.14,"fs-021",4
908,"r00820","GHKLRRS","BUR",14.6,0.12,"fs-021",3
909,"r00821","GHKLRRS","BUR",17.1,0.17,"fs-021",4
910,"r00822","GHKLRRS","EIT",21.4,0.48,"fs-021",5
911,"r00823","GRLGS","BUR",25.2,0.54,"fs-007",6
912,"r00824","GRLGS","BUR",11.6,0.12,"fs-007",3
913,"r00825","GRLGS","EIT",14,0.52,"fs-007",3
914,"r00826","GRLGS","BUR",12.9,0.14,"fs-007",3
915,"r00827","GRLGS","BUR",31.6,0.42,"fs-007",7
916,"r00828","GRLGS","BUR",30.6,0.45,"fs-007",7
917,"r00829","GRLGS","BUR",44.6,0.68,"fs-007",9
918,"r00830","GRLGS","BUR",41,0.43,"fs-007",9
919,"r00831","GRLGS","BUR",37,0.25,"fs-007",8
920,"r00832","GRLGS","BUR",42.6,0.54,"fs-007",9
921,"r00833","GRLGS","BUR",51.6,0.66,"fs-002",10
922,"r00834","GRLGS","BUR",43.6,0.5,"fs-002",9
923,"r00835","GRLGS","BUR",47.6,0.46,"fs-002",10
924,"r00836","GRLGS","BUR",40.4,0.46,"fs-002",9
925,"r00837","GRLGS","BUR",24.6,0.22,"fs-002",5
926,"r00838","GRLGS","BUR",47.6,0.51,"fs-002",10
927,"r00839","GRLGS","BUR",21.6,0.22,"fs-002",5
928,"r00840","SBSF","BUR",27,0.13,"fs-015",6
929,"r00842","SBSF","BUR",27,0.07,"fs-015",6
930,"r00843","SBSF","BUR",27,0.13,"fs-015",6
931,"r00845","SBSF","BUR",27,0.22,"fs-015",6
932,"r00846","SBSF","BUR",27,0.16,"fs-015",6
933,"r00847","SBSF","BUR",27,0.11,"fs-015",6
934,"r00848","SBSF","BUR",27,0.13,"fs-015",6
